﻿Week,Phase,Block Theme,Weekly Theme,Audience,Session Title,Core Concept,Opening Hook,Signal Metaphor,Ancient Wisdom Reframe,Teaching Points,Experiential Exercise,Guided Reflection,Journaling Prompt,Weekly Practice (Mon),Weekly Practice (Wed),Weekly Practice (Sun),Core Affirmation,Video Link (YouTube),Video Description,Film Script (2min Narration),Facilitator Notes
15,2,Unlearn,Letting Go of Who You Were Supposed to Be,Child,My Own Picture,"Sometimes grown-ups and other people have ideas about what we should be when we grow up, or how we should act, or what we should like. Those ideas come from love — but sometimes they're not exactly right for us. Today we explore what WE actually love and who WE actually are.","What do you love doing that feels most like YOU — not because someone told you to love it, but because you just do?","Imagine a colouring book where someone has already drawn the outlines and chosen the colours. That can be nice! But what if YOU want to draw your own picture from scratch? Today we think about which parts of your 'picture' came from other people — and which parts are completely, originally yours.","In old stories, the most interesting characters were never the ones who followed someone else's map exactly. They were the ones who made their own path — sometimes scary, always more truly theirs. Today we start drawing our own map.","1. There are things we love and things we're good at that belong completely to us. | 2. Sometimes people who love us have ideas about what we should like or who we should be — and those ideas come from love, even if they're not always right. | 3. It's okay to enjoy things people didn't expect you to enjoy. It's okay to be different from what anyone planned. | 4. The most important question is always: does this feel like ME?","MY OWN PICTURE: Each child gets a blank piece of paper (not a colouring-in page — a completely blank one). 'Draw or write things that feel most like you — what you love, what you're curious about, what you dream about, what makes you feel most alive.' No templates. No outlines. Completely theirs. Share: 'One thing in my picture that might surprise people who think they know me.'","Look at your picture. Close your eyes. Think: if nobody ever told you what to be or what to like, is this still what you'd choose? How does it feel to know that this — this real, specific, particular you — is already here?","Write or draw about something you love that feels completely, uniquely yours — maybe something not everyone understands.","Today, do one thing just because YOU love it — not because anyone told you to.",Show a grown-up your 'My Own Picture' drawing. Tell them one thing about yourself they might not know.,Bring your 'My Own Picture' back and add something new you discovered about yourself this week!,Who I am is already here. I get to discover it — and it belongs to me.,https://www.youtube.com/watch?v=H14bBuluwB8,YouTube: 'What Do You Do With an Idea?' read-aloud by Kobi Yamada — about nurturing the things that belong most deeply to you. Runtime ~8 min. Companion book: 'The Dot' by Peter Reynolds — about the courage to make your own mark.,"FADE IN: A blank piece of paper on a desk. Pencil hovering. VOICE: 'Before anyone told you what to draw... what would you have put here?' CUT TO: A child beginning to draw — tentatively at first, then with growing confidence. Something entirely their own. VOICE: 'That thing. Right there. That's yours.' CUT TO: Finished drawing. Completely original. Completely them. VOICE: 'Don't let anyone else fill in your blank page.' FADE TO TITLE: Mindcast LIVE.",The blank page exercise is deliberately unstructured — resist the urge to add prompts or templates. The blankness is the point. Celebrate every drawing as completely valid. This session plants a seed about intrinsic identity that will deepen throughout the year.
16,2,Unlearn,The Forgiveness Loop,Child,Putting Down the Hot Rock,"Sometimes people hurt our feelings or do things that aren't fair — and it can be really hard to stop feeling angry or sad about it. Today we talk about something called forgiveness — what it really means, and how it can help US feel better.",Has anyone ever felt really angry or sad about something someone did — and kept thinking about it even when you didn't want to? What does that feel like?,Imagine you're holding a really hot rock that someone threw at you. It burned your hand and it wasn't fair. But you're STILL holding it — and it's still hurting you. Forgiving someone is like putting the hot rock down. Not saying the throw was okay. Just putting the rock down so your hand can heal.,"In old stories, the characters who could forgive — not forget, but forgive — were always the strongest ones. Because letting go of a heavy thing takes more courage than holding on to it.",1. When someone hurts us it's completely normal to feel angry or sad — those feelings are real and valid. | 2. Forgiveness doesn't mean what happened was okay. It doesn't mean you have to be friends with the person again. | 3. Forgiveness means choosing to stop carrying the heavy hurt around — so that YOU can feel better. | 4. It's okay if forgiveness takes time. It usually does. Today we just start thinking about it.,THE HOT ROCK ACTIVITY: Each child gets a smooth stone. On it they write (or the facilitator helps write) something that happened that hurt them — a time someone was unkind. Then: hold the stone tight in your fist. Feel how heavy it is. How it doesn't feel nice to keep squeezing it. Now slowly open your hand and just... rest it there. You're not throwing it away. You're just stopping squeezing. Discuss: what's the difference between holding tight and just resting it in your open hand?,"Close your eyes and imagine the thing that hurt you. Notice where you feel it in your body. Now imagine slowly opening your hand and letting the stone just rest there — not throwing it away, not pretending it didn't happen, just not squeezing anymore. Does anything feel different?","Draw a picture of you holding the hot rock. Then draw a picture of you with your hand open, the rock resting in it. What's different about your face?","When you think about something that hurt you today, try opening your fist instead of squeezing it tighter.",Tell a trusted grown-up about something you're still feeling hurt about. Ask them to help you think about it.,Bring back: did you try opening your hand this week? What happened?,I can put down heavy things. Letting go is one of the bravest things I can do.,https://www.youtube.com/watch?v=7H2pBdLnmGs,YouTube: 'Each Kindness' by Jacqueline Woodson read-aloud — about the weight of things left unresolved and the power of choosing differently. Runtime ~8 min. Companion book: 'Enemy Pie' by Derek Munson — about releasing a grievance and discovering friendship.,"FADE IN: A cartoon child's hand, tightly fisted around a glowing red rock. Their whole body tense. VOICE: 'That rock — it wasn't theirs to give you. But you've been holding it ever since.' CUT TO: Slowly, the fist opens. The rock is still there — but no longer being squeezed. The glow fades slightly. The child's face softens. VOICE: 'Putting it down doesn't mean it didn't happen. It just means you don't have to keep carrying the heat.' FADE TO TITLE: Mindcast LIVE.","The hot rock exercise is highly physical and effective for this age. Ensure children understand clearly: forgiveness is not saying the hurt was okay, and it doesn't mean having to be friends with the person. Have a check-in with parents after this session if any significant hurts are disclosed."
17,2,Unlearn,Forgiving Yourself,Child,Say Sorry and Keep Going,"Sometimes we do things we feel really bad about — maybe we said something unkind or made a mistake that hurt someone. It's good to feel sorry. But today we learn that after we've said sorry and tried to make it right, we don't need to keep feeling bad forever.",Has anyone ever done something by accident or on purpose that they felt really bad about? What did it feel like? Did you say sorry? And did you feel better afterwards — or did the bad feeling stay for a long time?,"Imagine you accidentally knocked over your friend's drink. You felt terrible. You said sorry. You helped clean it up. Now imagine still feeling terrible about it three weeks later. That wouldn't be helpful anymore, would it? Today we learn how to say sorry properly — and then let ourselves feel okay again.","In old stories, characters who made mistakes had a choice: they could spend the whole story feeling terrible and not trying again — or they could learn, make it right, and keep going. The brave ones always chose to keep going.","1. When we do something that hurts someone — even by accident — it's normal to feel sad or sorry. That feeling is called guilt, and it's actually a sign that you care about doing what's right. | 2. The right steps are: acknowledge what happened, say sorry properly, try to make it right if you can. | 3. After you've done those things, you don't need to keep punishing yourself. You're allowed to feel okay again. | 4. We all make mistakes. All of us. Even grown-ups. Making mistakes doesn't make you bad — it makes you human.",THE SORRY STEPS: Teach the four steps on a poster or card: 1. SAY WHAT HAPPENED (no excuses). 2. SAY SORRY and mean it. 3. MAKE IT RIGHT if you can (what can you do?). 4. LEARN and do better next time. Role-play scenarios together. Then: think of something you still feel bad about. Have you done all four steps? If yes — you have permission to let the bad feeling go. If not — which step is still needed?,Close your eyes. Think of something you still feel a little bad about. Have you said sorry? Have you tried to make it right? If yes — imagine a kind voice saying to you: 'You did the right things. You don't need to carry this anymore. You're a good person who made a mistake. That's different from being bad.' How does that feel?,Draw the four sorry steps as a little comic strip. When would you use them?,"If you still feel bad about something today, work through the four steps. What still needs to be done?",Show a grown-up the four sorry steps. Ask them about a time they had to forgive themselves for something.,Bring back: did you use the four sorry steps this week? What happened?,"I can make mistakes and still be a good person. I say sorry, I make it right, and I keep going.",https://www.youtube.com/watch?v=nDPHBzWBFBg,YouTube: 'The Invisible String' or search 'sorry steps for kids animated' — various short animations on apology and self-forgiveness for young children. Runtime ~5 min. Companion book: 'Sorry!' by Trudy Ludwig — a story about what a real apology looks and feels like.,FADE IN: A cartoon child with a big grey cloud over their head — carrying guilt. VOICE: 'The cloud showed up when something went wrong. And it's been there ever since.' CUT TO: The child says sorry. Tries to make it right. Learns something. VOICE: 'Those four steps — those are all you need.' CUT TO: The cloud begins to lift. Not disappear — lift. The child can see the sky again. VOICE: 'You're not bad. You made a mistake. Those are different things.' FADE TO TITLE: Mindcast LIVE.,"Ensure the four-step process is concrete and memorable — put it on a card they can take home. Distinguish clearly between guilt (healthy, processable) and shame (unhealthy, prolonged). The goal is not to minimise accountability but to show children how to complete the cycle."
18,2,Unlearn,Rewiring the Critic — Building the Inner Coach,Child,Making the Kind Voice Louder,"Remember the gremlin from a few weeks ago? Today we give more power to the OTHER voice — the kind, honest, encouraging one. We're going to build our own inner coach — a voice that's on our side AND tells us the truth.","Think about a coach, teacher, or grown-up who really believed in you. What did they say? How did it feel different from when someone was just mean or critical?",The gremlin says mean things. But remember — there's another voice too. A coach voice. Coaches push you to get better AND they believe in you at the same time. Today we practise making that voice louder.,"In stories about heroes, there's always a wise guide — someone who believes in the hero even when the hero doesn't believe in themselves. Gandalf. Dumbledore. The cricket from Pinocchio. Today we practise becoming that wise guide for ourselves.","1. We all have different voices in our head — the gremlin voice (mean and not helpful), and the coach voice (honest AND kind). | 2. A good coach tells you the truth — but they also believe you can do it. | 3. The more we practise the coach voice, the louder it gets. It's like a muscle — the more you use it, the stronger it becomes. | 4. Today we practise what our inner coach sounds like.","THE COACH VS. GREMLIN GAME: Facilitator presents scenarios and groups decide: gremlin or coach? 'You'll never get this right' vs. 'That was tricky — let's try it a different way.' 'You're so embarrassing' vs. 'That felt awkward, but you were brave to try.' 'Nobody wants to play with you' vs. 'Making friends can be hard — who could you start with?' Then: for your own gremlin's favourite line, write or draw what YOUR coach would say instead. Share your coach line with the group.",Close your eyes. Think of something you find hard. Hear the gremlin say something about it. Now — imagine your coach stepping in. What does your coach say? How does that feel different? Which voice do you want to get louder?,Draw your inner coach. What do they look like? What is their name? What is their most important saying?,"When the gremlin speaks today, try having your coach answer back. Even quietly.",Introduce your inner coach to a grown-up. Tell them the coach's name and what they say.,Bring your inner coach drawing back! Did they help you this week?,"My inner coach is kind AND honest. The more I listen, the louder they get.",https://www.youtube.com/watch?v=VXez46_LZSE,YouTube: Search 'inner coach for kids animated' or 'positive self-talk for children' for short accessible animations. Runtime ~5 min. Companion book: 'The Girl Who Never Made Mistakes' by Mark Pett — about learning to be your own kind witness.,"FADE IN: Split screen — the gremlin whispering on one shoulder, the coach on the other. VOICE: 'They've both been there all along. The question is who gets the microphone.' CUT TO: The child practising the coach's voice. Quietly at first. VOICE: 'The coach voice gets stronger every time you use it. Just like a muscle.' CUT TO: The child in a tough moment — coach voice louder now. Managing it differently. VOICE: 'That's the work. That's the whole thing.' FADE TO TITLE: Mindcast LIVE.",Children love creating and naming their inner coach — it becomes a long-running character they can reference throughout the year. Display coach drawings alongside gremlin drawings from Week 7 — the visual comparison is powerful. Coordinate with parents so they can reinforce the coach language at home.
19,2,Unlearn,Breaking the People-Pleasing Pattern,Child,Kind vs. People-Pleasing,"Sometimes we do things we don't really want to do, or say we're okay when we're not, just so other people feel happy. That's called people-pleasing — and while it feels kind, it can actually stop us from being honest and taking care of ourselves. Today we learn the difference between being kind and trying to make everyone happy all the time.",Has anyone ever done something they didn't really want to do just so someone else wouldn't be upset? What did that feel like?,"Imagine you have a cup of energy. Every time you do something kind because you genuinely want to, the cup stays full. But every time you do something just so someone won't be upset with you — even when you don't want to — the cup gets a little emptier. Today we learn to tell the difference.","In old stories, the characters who tried to make everyone happy all the time usually ended up in trouble — because they kept saying yes when they meant no, until everything got very confusing. The characters who were honest — even when it was uncomfortable — those were usually the ones things worked out for.","1. Being kind means genuinely caring about other people — and that's wonderful. | 2. People-pleasing is different — it means saying yes or pretending to be okay even when you're not, because you're worried about what someone will think or feel. | 3. It's okay for other people to feel disappointed sometimes. That's part of life. | 4. Learning to be honest — even when it's a little uncomfortable — is one of the kindest things you can do, because people get to know the real you.","KIND or PEOPLE-PLEASING? Play through scenarios: 'Your friend wants to play a game you find boring. You play anyway because you love them and it will make them happy.' (KIND — genuine choice.) 'Someone asks if you like their drawing. You say yes even though you don't, because you're scared they'll be upset.' (PEOPLE-PLEASING.) 'You don't want to go to the party but say you do because you're worried everyone will be mad at you.' (PEOPLE-PLEASING.) Discuss: what's the difference? How can you tell from the inside? What does each one feel like in your body?",Close your eyes. Think of a time you said yes when you meant no. How did your body feel while you were saying it? And after? Now think of a time you were genuinely kind — something you wanted to do. How did THAT feel? Can you feel the difference?,Draw a picture showing the difference between being kind (from the heart) and people-pleasing (from fear).,"Today, notice if you do something just to make someone happy rather than because you genuinely want to. You don't have to change it — just notice.",Tell a grown-up about the difference between being kind and people-pleasing. Ask them if they ever do it too.,Bring back: did you notice a people-pleasing moment this week? What happened?,I can be kind AND honest. I don't need to pretend to take care of myself.,https://www.youtube.com/watch?v=IRVxOCKxDyI,YouTube: Search 'saying no for kids read aloud' or 'personal boundaries for children' for short accessible animations. Runtime ~5 min. Companion book: 'My Body Belongs to Me' by Jill Starishevsky — extends into body boundaries and personal authority.,"FADE IN: A cartoon child saying yes, yes, yes — each yes making them a little more tired, a little more invisible. VOICE: 'They're so busy making everyone else happy... there's no space left for them.' CUT TO: The child, quietly, trying something different. A gentle, honest 'actually, I don't really want to.' VOICE: 'That was scary. And that was brave. And the world didn't end.' CUT TO: The child — still kind, but more themselves. More present. VOICE: 'Kind and honest. You can be both.' FADE TO TITLE: Mindcast LIVE.","Keep this session warm and non-shame-based — many children are actively taught to prioritise others' feelings above their own. The goal is discernment, not selfishness. Involve parents by sending home a note about the session so they can reinforce the language."
20,2,Unlearn,Unlearning Scarcity — There Is Enough,Child,The Things That Don't Run Out,"Sometimes we worry that there isn't enough — enough time, enough love, enough things that are good. Today we practise noticing all the things there actually ARE enough of — and how our brains can sometimes trick us into thinking things are scarcer than they are.","Has anyone ever worried that there wasn't enough of something — like that they didn't have enough friends, or that someone didn't love them enough? What was that like?",Imagine your brain has a 'worry radar' that scans for anything that might run out. Sometimes it's really helpful! But sometimes it finds problems that aren't really there. Today we learn to tell the difference between real worries and radar false alarms.,"In old stories, there's often a magic pot or a well that never runs out — no matter how much you take, there's always more. That sounds like a fairy tale. But there ARE things in your life that don't run out when you share them. Love. Kindness. Ideas. Laughter. Today we find them.","1. Our brains are designed to notice when things might run out — that was useful for our ancestors. | 2. But sometimes our brains get it wrong and tell us things are running out when they're actually fine. | 3. Some things DO run out — like biscuits. Some things DON'T run out — like love, kindness, ideas, and good memories. Sharing them makes more, not less. | 4. Today we practise noticing all the things in our life that ARE enough.","ENOUGH TREASURE HUNT: Children have 5 minutes to write or draw as many things as they can think of in their life that are 'enough' or 'plentiful': 'I have enough...' — people who love me, fun things to do, things I'm good at, ways I'm kind, good memories. Share the lists. Then: facilitator points out that sharing kindness or ideas never made them smaller. Discuss: what happens to love when you give some away? Does it get smaller — or bigger?",Close your eyes. Think about all the people who love you. Now imagine giving some of that love to someone else. Does the love in your heart get smaller — or does it stay the same? What about kind thoughts? Ideas? Smiles? Some things grow when you share them.,Draw a picture of all the things in your life that there is ENOUGH of. Make it as full as you can!,"Today, share one kind thing with someone — and notice if it made your kindness smaller or bigger.",Tell a grown-up about one thing in your life that you have plenty of. Ask them what they feel they have plenty of too.,Bring back your 'enough' drawing and add three more things you noticed this week!,"I have enough love, enough kindness, and enough good things in my life. And sharing them makes more.",https://www.youtube.com/watch?v=rrkrvAUbU9Y,YouTube: Search 'The Giving Tree read aloud Shel Silverstein' — a classic story about generosity and what replenishes vs. what depletes. Runtime ~8 min. Also: 'Have You Filled a Bucket Today?' read-aloud — about how kindness replenishes rather than depletes.,FADE IN: A child's worry about having enough — visualised as a shrinking jar. VOICE: 'Sometimes our brains tell us the jar is running out.' CUT TO: The child shares something kind with a friend. Waits. Looks at the jar. VOICE: 'But look. The jar didn't get smaller. It got bigger.' CUT TO: Jar overflowing with colour and light. VOICE: 'Some things you can't run out of when you share them.' FADE TO TITLE: Mindcast LIVE.,"The concept of non-depletable resources (love, kindness, ideas) vs. depletable resources (biscuits, time) is a wonderful distinction for this age. Make it concrete and playful. The 'bucket filling' concept from the book is a year-round reference tool — consider making it a classroom/programme resource."
21,2,Unlearn,The Relationships That Shaped You,Child,The Gifts People Give Us,"All the people in our lives — family, friends, teachers — teach us things about what being close to someone feels like. Some of those things are wonderful. Some might be a little confusing or hard. Today we think about the people who have shaped us most — and what we want to carry with us.",Who is one person in your life (or who WAS in your life) who made you feel really safe and loved? What did they teach you about what it feels like to be cared for?,Imagine all the people who've been important to you have each given you a little gift — something you learned from being close to them. Some gifts are beautiful and you want to keep them forever. Some gifts might be a bit confusing and you're not sure they're actually for you. Today we look at the gifts.,In old stories there are always the wise elders — people whose influence stays with the hero long after they've parted. The hero carries what was good and leaves behind what wasn't theirs to carry. Today we think about who has been our wise elder — and what they gave us.,"1. All the important people in our lives teach us something about what being close to someone feels like. | 2. Some of what we learn is wonderful — how to trust, how to feel loved, how to be kind. | 3. Some of what we learn might be confusing — maybe some relationships made us feel unsure or worried. | 4. We get to look at all of it and decide: what do I want to keep? What do I want to do differently?","THE RELATIONSHIP GIFTS BOX: Each child draws a gift box. Inside the box, they draw or write gifts from important relationships — 'from [name] I learned...' Keep it positive focus: what good things did they learn? Around the outside of the box, draw or write: 'I also want to learn more about...' (i.e. things they wish their relationships had taught them). Share: one gift from inside your box.",Close your eyes. Think of someone who taught you what it feels like to be truly loved and safe. How does it feel to remember them? Now think: what's one thing you learned from them that you want to take with you forever?,Draw a person who has shaped you and write three things you learned from being in a relationship with them.,"Today, thank someone (in person, in a letter, or in your heart) for something they gave you.",Tell a grown-up about one thing they've taught you that you want to carry with you. Watch their face.,Bring back your gift box drawing and tell us about the best gift inside it!,The people who love me teach me things I carry forever. I choose the gifts I keep.,https://www.youtube.com/watch?v=9_1Rt1R4xbM,YouTube: 'Wonder' read-aloud clips or 'Wilfred Gordon McDonald Partridge' read-aloud — a beautiful story about what we carry from relationships and what we give to others. Runtime ~8 min.,"FADE IN: A child's hands, holding various small objects — each one representing something learned from a relationship. Some bright, some dull. VOICE: 'Everyone who's been close to you has left something.' CUT TO: The child carefully choosing which ones to put in their pocket. Holding each one up to the light. VOICE: 'You don't have to keep everything that was given to you. Some things were never yours to carry.' CUT TO: Child walking forward, pockets full of the bright ones. Lighter. VOICE: 'You get to choose.' FADE TO TITLE: Mindcast LIVE.","Keep this session positive and boundaried — focus on what was given rather than what was withheld or damaged. Children who have experienced significant relational harm need professional support, not a group session. If something concerning is disclosed, follow your duty of care protocol and refer to appropriate support."
22,2,Unlearn,Setting Down the Armour,Child,The Shield With a Door,"Sometimes when we've been hurt before, we build a little protective wall around our heart — we might not share our real feelings, or we might try to look like nothing bothers us. Today we talk about why those walls go up, what they do, and when it might be safe to put a door in them.",Has anyone ever tried to look like something doesn't bother them when it actually does? Or acted tougher than you felt? What's that like?,Imagine you have an invisible shield. It keeps you safe when things feel scary or hurtful. But sometimes the shield is up even when it doesn't need to be — and then it also blocks the nice things. Today we learn when to use our shield and when it's safe to put it down.,"In old stories, the heroes always had a shield — but the wisest ones knew when to use it and when to set it aside. A shield you never put down stops being protection and starts being a wall. And walls keep out friends as well as danger.","1. When something hurts us, our brain builds a little protective shield to stop us getting hurt the same way again. | 2. That's really smart! But sometimes the shield stays up even when it's safe to put it down. | 3. When our shield is always up, we can miss out on good things too — like people who want to be close to us, or fun we could be having. | 4. The best shields have doors in them — so we can let the right people in when we're ready.","THE SHIELD WITH A DOOR: Each child draws a shield. On the shield they draw or write what it protects them from (things that feel scary or hurtful). Then they draw a door in the shield. On the door they write: 'I open this for people who...' (e.g. 'keep my secrets,' 'are kind to me,' 'make me feel safe'). Share: what your door needs before you open it.",Hold your shield drawing. Close your eyes. Think about a time you had your shield up when you maybe didn't need it. What might have happened if you'd opened the door a little? Was there someone trying to be close to you that you kept out? How does that feel?,Draw your ideal safe person — someone who would deserve to see behind your shield. What makes them trustworthy?,"Today, notice if your shield goes up. Ask yourself: is this danger real? Or is the shield just being extra careful?",Show a trusted grown-up your shield drawing. Tell them who you open the door for — and why.,Bring back your shield drawing! Has anything changed about when you use it?,I have a shield to keep me safe — and it has a door I can open when I trust someone.,https://www.youtube.com/watch?v=4eSBQFoVCJc,YouTube: Search 'The Invisible String read aloud' or 'Last Stop on Market Street read aloud' — stories about trust and connection after difficulty. Runtime ~8 min. Book: 'The Rabbit Listened' by Cori Doerrfeld — about allowing someone to be with you in difficulty.,"FADE IN: A cartoon child surrounded by an invisible bubble — bouncing everyone gently away. Safe. But also alone. VOICE: 'The bubble works really well. Nothing gets in.' CUT TO: A friend trying to reach through — gently, kindly. VOICE: 'Not even the good stuff.' CUT TO: The child finds a little door in the bubble. Opens it — just a crack. Let's one trusted friend through. VOICE: 'The door doesn't take the bubble away. It just means you get to choose who comes in.' FADE TO TITLE: Mindcast LIVE.",The shield/door metaphor is beautifully concrete for this age. The key message is agency — they control the door. Never push children to lower defences in a group setting. Coordinate with families so they can continue the conversation at home.
23,2,Unlearn,Grief and Growth — What Endings Make Possible,Child,The Autumn Before Spring,"Sometimes things end or change — friends move away, pets die, families change, things we loved go away. It's completely normal and okay to feel really sad about those things. Today we learn that it's important to let ourselves feel sad — and that after the sadness, something new always becomes possible.",Has anyone ever lost something or someone that made them really sad? A friend who moved away? A pet who died? Something that changed and you miss? It's okay to talk about those feelings today.,"Imagine every ending is like autumn — the leaves fall, everything looks bare and a bit sad. But the tree doesn't die. And the bare branches make space for spring to come. Endings are like autumn. They're not the end of the tree. They're part of the tree's life.","In old stories, even the saddest moments always led somewhere. Not immediately. Not easily. But the saddest chapter was never the last chapter. Today we learn to trust that — even when it doesn't feel true yet.","1. Feeling sad when something ends is completely normal and healthy — it means you loved something real. | 2. It's important to let yourself feel sad — trying to push the sadness away before it's ready can make it bigger. | 3. But sadness doesn't last forever. Just like autumn leads to winter which leads to spring — feelings change over time. | 4. Talking about your sad feelings, drawing them, or just letting them be there helps them move through.",THE FEELINGS TREE: Each child draws a tree with four sections representing the four seasons. In the autumn section: what is something that has ended or changed that makes you sad? In the winter section: what does that sadness feel like? In the spring section: what small new thing has grown or could grow because of the change? In the summer section: what do you hope the future will bring? Share: your spring section — something small that has grown.,"Close your eyes. Think of something that ended or changed that made you sad. Let yourself feel that sadness for a moment — it's okay, it's safe here. Now: can you think of one tiny good thing that has happened since then? One small spring that came after the autumn? It might be very small. But it's there.",Draw how you feel when something ends. Then draw how you might feel after some time has passed.,"If you're feeling sad about something today, find a safe person to tell. You don't have to fix the sadness — just share it.","Tell a grown-up about something you've felt sad about. Ask them to just listen — you don't need advice, just company.",Bring back your feelings tree! Has anything changed in your spring or summer sections?,It's okay to feel sad when things end. Sadness moves through when we let it. And something new always comes.,https://www.youtube.com/watch?v=7H2pBdLnmGs,"YouTube: 'The Invisible String' read-aloud — a beautiful, gentle story about connection that continues even through endings and loss. Runtime ~8 min. Book: 'The Goodbye Book' by Todd Parr — simple, reassuring, and age-appropriate for all types of loss.","FADE IN: A tree in autumn — leaves falling, everything bare and still. VOICE: 'Autumn looks like the end.' CUT TO: Winter. Quiet. Empty. VOICE: 'Winter looks like nothing is happening.' CUT TO: Spring. One small green bud appearing on a bare branch. VOICE: 'But look.' CUT TO: Summer. Full leaves, warm light, children playing beneath. VOICE: 'The tree never died. It was getting ready.' FADE TO TITLE: Mindcast LIVE.",This is a sensitive session that may bring up significant losses for some children. Ensure pre-communication with parents/caregivers — particularly if any children in the group have recently experienced bereavement. The seasons metaphor is gentle and non-prescriptive. Maintain access to a pastoral support person.
24,2,Unlearn,Rewiring Fear — From Threat to Signal,Child,The Toast Alarm vs. The Real Fire,Everyone feels scared sometimes — and that's completely okay. Fear is actually really useful when it warns us about real danger. But sometimes our fear alarm goes off when things are just new or a bit uncomfortable — not actually dangerous. Today we learn to tell the difference!,"Can anyone name something that feels scary but isn't actually dangerous? Like talking in front of the class, or trying something new, or meeting someone you don't know? What does scary-but-safe feel like?","Imagine your brain has a fire alarm. Real fires need the alarm! But sometimes the alarm goes off when someone just burns some toast — not a real fire at all. Today we learn which alarms need us to run away, and which ones just need a bit of bravery.","In old stories, the bravest heroes weren't the ones who were never scared. They were the ones who felt scared AND kept going anyway. Because they learned that most scary things, once you face them, turn out to be much more manageable than they looked from far away.","1. Fear is a brilliant helper — it warns us about real danger so we can stay safe. | 2. But sometimes our fear alarm goes off for things that are just new, uncomfortable, or a bit awkward — not actually dangerous. | 3. Learning to tell the difference is a superpower: 'Is this a REAL fire — or just burnt toast?' | 4. When it's just burnt toast, we can take a breath and be brave. Our body's alarm will calm down once we show it everything is okay.","REAL FIRE or BURNT TOAST? Play through scenarios together: 'A stranger asks you to go somewhere alone' — REAL FIRE (tell a trusted adult). 'You have to do a speech in front of the class' — BURNT TOAST (scary but safe, take a breath). 'Your friends are about to jump off something really high' — REAL FIRE. 'You want to try a new sport but feel nervous' — BURNT TOAST. Then: think of something that feels scary in your life. Real fire or burnt toast? How do you know?",Close your eyes. Think of something that feels scary but is probably burnt toast — just new or a bit uncomfortable. Feel the alarm. Now say to yourself: 'This is just burnt toast. I can handle burnt toast.' Take a slow breath. Notice if the alarm quiets down a little.,Draw a burnt toast fear and a real fire fear. How are they different? What do you do for each one?,"When you feel your fear alarm today, ask: real fire or burnt toast? Then decide what to do.",Tell a grown-up about something that's burnt toast for you — scary but safe. Ask them about one of theirs!,Bring back: did you have a burnt toast moment this week? What happened when you were brave about it?,My fear alarm helps keep me safe. And I'm learning when to listen — and when to be brave.,https://www.youtube.com/watch?v=BVAaomgzFCM,YouTube: Search 'brave for kids animated fear YouTube' or 'facing fears children animated' for short accessible animations on being courageous about non-dangerous fears. Runtime ~5 min. Book: 'Jabari Jumps' by Gaia Cornwall — a child who is scared to jump off the diving board and works up the courage to try.,FADE IN: A cartoon fire alarm blaring — in a kitchen where someone has burnt toast. VOICE: 'Alarm is on. But is this a real fire?' CUT TO: Child looking around. No fire. Just toast. VOICE: 'Sometimes our brain treats burnt toast the same as a real fire.' CUT TO: Child taking a breath. Opening a window. Alarm quieting. VOICE: 'When you show your brain it's just burnt toast... it calms down. Every time.' FADE TO TITLE: Mindcast LIVE.,The real fire/burnt toast distinction is brilliantly concrete and memorable for this age. Physical breathing practice can be integrated directly into the role-play. This language can become a year-round reference: 'is that a real fire?' Coordinate with parents to use the same language at home.
