Week,Phase,Phase Name,Movement Theme,Audience,Weekly Theme,Session Title,The Territory,Opening Question,Spiral Thread,Spiral Depth,Revisits Weeks,Week Type,S1 Welcome Wall Note,S2 Voices Callback Intro,S3 Ancient Wisdom (full text),"S3 Ancient Wisdom VO Script (10s, <=28 words)",S3 Video URL,S3 Captions URL,S4 In Today's World (full text),"S4 In Today's World VO Script (10s, <=28 words)",S4 Video URL,S4 Captions URL,S5 Today's Theme (write from transcript),S5 Source: Opening Hook (legacy),S5 Source: Core Concept (legacy),S6 Video URL,S6 Video Title/Description,S6 Video Transcript,S6 Reflective Question 1,S6 Reflective Question 2,S7 Private Write Prompt (90 sec),S7 Experiential Exercise,S8 Reflection Prompt,S9 Intention Prompt,S9 Practice (Mon),S9 Practice (Wed),S9 Practice (Sun),S10 Closing Quote,S10 Quote Attribution,S10 Core Affirmation,S11 Facilitator Prep Notes,S11 Watch For,S11 First Time Note,S11 Heavy Week Flag,S11 Post-Session Evaluation
15,2,Unlearn,Unlearn,Teen,Letting Go of Who You Were Supposed to Be,Default Settings,Living up to what everyone expects,Whose expectations are you living inside?,Permission and values,2 of 4,"14, 28, 43",Standard,,,"There's an old idea: 'The life that is not examined is not worth living.' But what's rarely said is the other side — the life lived entirely according to someone else's examination, someone else's conclusions, someone else's expectations — that's not really living either. Today we start examining.",There's an old idea: 'The life that is not examined is not worth living.' But what's rarely said is the other side — the life lived entirely according…,,,You've been reading lines off a teleprompter someone else wrote — but it isn't your story. Today: put down one 'should' and say the line that's actually yours.,You've been reading lines off a teleprompter someone else wrote — but it isn't your story. Today: put down one 'should' and say the line that's actually yours.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

There's probably a version of you that other people have planned out — a career path, a type of success, a kind of life. And there's the version of you that actually exists. This week we figure out which parts of your future belong to you — and which parts were handed to you without asking.",Be honest: what do you think the people closest to you expect your life to look like in 10 years? Now: is that actually what you want? How much overlap is there?,"There's probably a version of you that other people have planned out — a career path, a type of success, a kind of life. And there's the version of you that actually exists. This week we figure out which parts of your future belong to you — and which parts were handed to you without asking.",https://www.youtube.com/watch?v=NiuDFBNDoSk,YouTube: 'There's More to Life Than Being Happy' by Emily Esfahani Smith — explores authentic meaning vs. inherited happiness scripts. Highly relevant for teens navigating expectation. Runtime ~12 min.,,,,Whose expectations are you living inside?,"THE EXPECTATION MAP: Draw a page with two sections. Section 1: 'The life people around me seem to expect for me' — be specific about career, values, relationships, lifestyle markers. Who specifically expects this? Section 2: 'The life I actually find myself drawn to' — even if it's unclear, even if it seems unrealistic, even if you've never said it out loud. Now: where do these maps overlap? Where do they diverge most significantly? Share: one divergence point — without necessarily resolving it.",Write about one expectation someone has of your future that you've never questioned out loud. What happens when you question it now?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Notice one moment today where a choice you're making is genuinely yours — not inherited, not performed. What does that feel like?",Tell one trusted person about one way your actual direction diverges from the expected path. Notice their response — and notice what you feel after saying it.,Bring back: what was it like to draw the expectation map? What surprised you?,,,I am not obligated to become the person someone else planned. My life is mine to define.,"This is potentially a session where teens may disclose family conflict around expectations — particularly around academic or career pressure. Keep the framing on self-discovery rather than family critique. The goal is inner clarity, not rebellion.",,,,
16,2,Unlearn,Unlearn,Teen,The Forgiveness Loop,Closing the Background Apps,"Staying angry at someone, and what it costs you","Who are you still angry at, and what does staying angry give you?",Forgiveness,1 of 3,"17, 45",Standard,,,There's an old saying: 'Holding onto anger is like drinking poison and expecting the other person to die.' Most traditions across the world arrived at the same conclusion independently: forgiveness is not for the person who wronged you. It is for you.,There's an old saying: 'Holding onto anger is like drinking poison and expecting the other person to die.' Most traditions across the world arrived at the same conclusion…,,,Resentment is gripping a hot coal to throw at someone — you're the one getting burned. Today: name one grudge and picture opening your hand and setting the coal down.,Resentment is gripping a hot coal to throw at someone — you're the one getting burned.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Holding onto anger or resentment toward someone feels powerful — like you're making them pay. But research shows the only person actually paying is you. This week we look at what forgiveness actually means — and why it's one of the most self-interested things you can do.",Think of someone you're angry at or haven't forgiven. You don't have to name them. Just notice — how much mental space does this take up? When does it show up? How often does it replay?,Holding onto anger or resentment toward someone feels powerful — like you're making them pay. But research shows the only person actually paying is you. This week we look at what forgiveness actually means — and why it's one of the most self-interested things you can do.,https://www.youtube.com/watch?v=Ik_V3UIqoQ0,YouTube: Search 'science of forgiveness teen' or 'Fred Luskin forgiveness research' for accessible content on the physiological benefits of forgiveness. Runtime ~10–15 min.,,,,"Who are you still angry at, and what does staying angry give you?","THE BACKGROUND APP AUDIT: Think of one person or situation you're carrying resentment toward. Write: What exactly happened? What did it cost you? How often do you replay it? What has holding this cost you in energy, relationships, or peace? Now write: What would 'closing this app' actually look like? Not forgetting — just stopping the replay. Share: how much mental RAM is this taking up — without naming the specific app.","Write honestly: what are you getting from holding onto this resentment? (There's usually something — a sense of justice, a protection, a way of staying connected to what happened.) Is it worth the cost?","Given what you noticed today, what is one thing you will do differently before next Sunday?","When the resentment replays today, try saying internally: 'I know this hurt. I'm choosing to stop paying for it.' Notice what happens.",Tell one person you're working on releasing something you've been carrying. Notice how it feels to say that.,Bring back: what shifted — even a little — when you tried the internal reframe this week?,,,"I release what I've been carrying — not for them, but for myself. That energy is mine now.","For teens, forgiveness of peers — social exclusion, betrayal, online harm — can be extremely raw. Never minimise the hurt. The session is entirely about their own wellbeing, not about the other person. Make that distinction very clearly and repeatedly.",,,YES,
17,2,Unlearn,Unlearn,Teen,Forgiving Yourself,Closing the 2am Replay,Being honest about a mistake without hating yourself for it,What have you done that you still haven't forgiven yourself for?,Forgiveness,2 of 3,"16, 45",Standard,,,"There's an old practice in many wisdom traditions of 'honest confession' — not to a religious authority, but to yourself. The practice wasn't about punishment. It was about seeing clearly, accepting responsibility, and then releasing the grip of the past on the present. The purpose was always freedom, not continued suffering.","There's an old practice in many wisdom traditions of 'honest confession' — not to a religious authority, but to yourself. The practice wasn't about punishment.",,,You wouldn't keep charging a friend for a debt they already paid — so stop billing yourself for the same mistake. Today: mark one thing 'paid — lesson kept' and close the account.,You wouldn't keep charging a friend for a debt they already paid — so stop billing yourself for the same mistake.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

You know all those mistakes, embarrassments, and bad calls you keep replaying — especially at 2am? This week we talk about why being permanently hard on yourself isn't the same as accountability. And why the most powerful thing you can do is actually learn from something and then let it go.","What's one thing from the past — a mistake, an embarrassment, something you said or did — that you still replay? Be honest about how often it comes up.","You know all those mistakes, embarrassments, and bad calls you keep replaying — especially at 2am? This week we talk about why being permanently hard on yourself isn't the same as accountability. And why the most powerful thing you can do is actually learn from something and then let it go.",https://www.youtube.com/watch?v=IvtZBUSplr4,YouTube: Kristin Neff self-compassion talk — accessible for teens and directly addresses the difference between self-compassion and making excuses. Also search 'self-forgiveness teen psychology' for shorter accessible clips. Runtime ~15–20 min.,,,,What have you done that you still haven't forgiven yourself for?,"THE 2AM AUDIT: Think of one thing you replay — a mistake, a failure, a moment you're not proud of. Work through: What actually happened? What would genuine accountability look like (acknowledging, understanding, repairing if possible)? Have you actually done those things — or are you still just punishing yourself? If a friend told you the same story, what would you actually say to them? Write them that message — then read it back to yourself. Share: one insight from this process.","Write the honest version of the story — what happened, what you learned, what you'd do differently. Then write: 'That is enough. I release the rest.'","Given what you noticed today, what is one thing you will do differently before next Sunday?","When the replay starts today, try interrupting it with: 'I've heard this. I've learned from it. I'm closing this tab.'",Tell one person something you've been replaying — and let them respond. Notice what it feels like when someone who cares about you hears the whole thing.,Bring back: what happened when you tried closing the tab this week?,,,I am accountable and I am compassionate with myself. I learn and I move forward.,The 2am framing resonates deeply with teens — it normalises a universal experience without glamorising it. The key distinction between shame and guilt is worth spending extra time on. Be alert for anyone who seems to be carrying significant self-blame — offer professional referral resources gently.,,,YES,
18,2,Unlearn,Unlearn,Teen,Rewiring the Critic — Building the Inner Coach,Building the Track,Turning the harsh voice into an honest one,What would a good coach have said to you instead?,The inner voice,2 of 3,"7, 32",Standard,,,There's a difference between a trainer who pushes you to get better and a voice that just tells you you're not good enough. One builds capacity. The other just builds dread. The inner coach pushes — but it believes in you while it does. That combination is what makes it work.,There's a difference between a trainer who pushes you to get better and a voice that just tells you you're not good enough. One builds capacity.,,,"Swap the heckler in your head for a good coach — same honesty, opposite tone. Today: rewrite one harsh line the way a great coach would say it.","Swap the heckler in your head for a good coach — same honesty, opposite tone. Today: rewrite one harsh line the way a great coach would say it.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

Last time we met the inner critic. Now we do something with it. Not silence it forever — but replace it with something way more useful: a voice that's actually honest AND on your side. Think of the best coach, mentor, or teacher you've ever had. That's the voice we're building.","Think of the best teacher, coach, or mentor you've ever had — real or from a film or book. What made their voice different from the critic's? What did they say that the critic never says?","Last time we met the inner critic. Now we do something with it. Not silence it forever — but replace it with something way more useful: a voice that's actually honest AND on your side. Think of the best coach, mentor, or teacher you've ever had. That's the voice we're building.",https://www.youtube.com/watch?v=pN34FNbOKXc,YouTube: 'Growth Mindset vs. Fixed Mindset' animated explainer — Carol Dweck's research on the language of growth vs. the language of judgment. Runtime ~10 min.,,,,What would a good coach have said to you instead?,"CRITIC vs. COACH REWRITE: Take 3 things your inner critic commonly says to you. For each, write the coach version using this structure: Acknowledge ('That was hard / didn't go as planned'). Observe specifically ('The specific thing that happened was...'). Question forward ('What could I try differently / what did I learn?'). Affirm capacity ('You've handled hard things before / you can figure this out'). Read the coach versions aloud — even quietly to yourself. Notice what it feels like in your body. Share: one coach line that you actually believe.",Write a pre-game coach briefing for yourself before something challenging this week — the kind of thing the best coach would say.,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Today when the critic fires, try running just the first line of the coach script: 'That was hard. And I can work with this.' Notice the difference.","Tell one person your coach voice — what it says, how it's different. Ask them to remind you of it when you slip back into critic mode.",Bring back: when did you use the coach voice this week? What happened?,,,"My inner coach is honest and on my side. I'm building that voice, one rep at a time.","Have teens write their coach scripts on actual cards they keep — a physical reminder is more effective than a mental one. The rep-by-rep framing resonates with teens who understand athletic or skill development. Reinforce: this is brain training, not positive thinking.",,,,
19,2,Unlearn,Unlearn,Teen,Breaking the People-Pleasing Pattern,The Battery Drain,"Being nice because you're scared, versus being nice because you mean it",When did you last say yes when you really meant no?,Choice and response,2 of 3,"3, 43",Standard,,,There's an old idea: you can't pour from an empty cup. People-pleasing is the habit of pouring constantly — for everyone else — and wondering why you're always running on empty. The radical act is filling your own cup first. Not instead of caring for others. But before.,There's an old idea: you can't pour from an empty cup.,,,Saying yes to everything is never closing any apps — your battery hits 1% by noon; a boundary is low-power mode on purpose. Today: turn one fear-'yes' into an honest 'no'.,Saying yes to everything is never closing any apps — your battery hits 1% by noon; a boundary is low-power mode on purpose.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

Do you ever agree to things you don't want to do just to avoid the awkwardness of saying no? Say things you don't mean to keep the peace? Pretend to be fine when you're not? That's people-pleasing — and it feels kind but it's actually one of the most exhausting and self-erasing things you can do. This week we look at where it comes from and how to start changing it.","Honest check-in: In the past week, how many times did you say yes when you meant no? Agree with something you didn't agree with? Pretend to be okay when you weren't? How much energy did that take?",Do you ever agree to things you don't want to do just to avoid the awkwardness of saying no? Say things you don't mean to keep the peace? Pretend to be fine when you're not? That's people-pleasing — and it feels kind but it's actually one of the most exhausting and self-erasing things you can do. This week we look at where it comes from and how to start changing it.,https://www.youtube.com/watch?v=MIte_1vcOqs,"YouTube: Search 'people pleasing psychology teens' or 'how to say no without guilt' for accessible, practical content. Alternatively: Patrick Teahan or Dr Ramani on people-pleasing roots. Runtime ~10–15 min.",,,,When did you last say yes when you really meant no?,"THE YES/FEAR AUDIT: Think of your last 10 significant 'yeses.' For each one, honestly ask: Did I say yes because I genuinely wanted to — or because I was afraid of what would happen if I didn't? Sort them into two columns: 'Genuine yes' and 'Fear yes.' What's the ratio? Now: pick one 'fear yes' pattern. What specifically am I afraid will happen if I say no? How realistic is that fear? Share: the ratio — without naming specific situations.",Write about the person whose approval you most shape yourself around. What would happen to your relationship if you started being more honest? What's the best realistic outcome if you did?,"Given what you noticed today, what is one thing you will do differently before next Sunday?","Try one small no today — something low-stakes. Notice what you feel before, during, and after. Record it.",Tell one person about a 'fear yes' pattern you're working on. Ask them to notice when you're doing it.,Bring back: what happened with your small no this week? Fear vs. reality?,,,I say yes when I mean yes. I say no when I need to. Both are acts of respect.,People-pleasing is deeply tied to social belonging needs in teens — acknowledge that the fear of rejection is real and the brain genuinely experiences it as dangerous. The goal is not fearlessness but gradually expanding the window of tolerance for discomfort when acting from values.,,,,
20,2,Unlearn,Unlearn,Teen,Unlearning Scarcity — There Is Enough,The Resource Monitor,The feeling that there isn't enough to go around,"What do you hold back on, just in case?",Enough,2 of 3,"6, 46",Standard,,,There's an old observation: 'The one who knows they have enough will always have enough.' This isn't about money or stuff. It's about the baseline belief you carry. If the baseline is 'there isn't enough' — you'll feel that scarcity even when you're objectively fine. If the baseline is 'there is enough' — you generate more of everything.,There's an old observation: 'The one who knows they have enough will always have enough.' This isn't about money or stuff. It's about the baseline belief you carry.,,,"Kindness isn't a biscuit tin that empties — it's a candle that lights other candles and loses nothing. Today: give something away as if it multiplies, because it does.",Kindness isn't a biscuit tin that empties — it's a candle that lights other candles and loses nothing.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

There's a thought that runs constantly in the background for most people: not enough time, not enough success, not good enough. It drives comparison, competition, and the feeling that you're always slightly behind. This week we look at where that thought actually comes from — and whether it's actually true.",What do you feel like you never have enough of? Time? Friends? Success? Recognition? Attention? Pick the one that hits hardest. Where did you first learn to feel scarce about that thing?,"There's a thought that runs constantly in the background for most people: not enough time, not enough success, not good enough. It drives comparison, competition, and the feeling that you're always slightly behind. This week we look at where that thought actually comes from — and whether it's actually true.",https://www.youtube.com/watch?v=RZWf2_2L2v8,YouTube: Search 'scarcity mindset vs abundance mindset explained' for clear animated or talk-format explainers. Also: Brené Brown on 'never enough' culture is widely available. Runtime ~10–15 min.,,,,"What do you hold back on, just in case?","ENOUGH AUDIT: What are the three main areas where you feel 'not enough'? For each one: When did this start? What specific evidence are you using to decide you're not enough in this area? If your best friend had exactly your situation, would you tell them they weren't enough? What would 'genuinely enough' actually look like — not perfect, just enough? Share: one 'not enough' story you're questioning.","Write about what your life would look like if you genuinely believed you were enough — not perfect, not finished, but fundamentally, currently enough. What would you do differently?","Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice one 'not enough' thought today. Ask: is this actually true? Or is it a programme running on old data?,Tell one person about an area where you're practising 'enough' thinking. Ask them to reinforce it when you slide back.,Bring back: what happened when you questioned the 'not enough' thought this week?,,,"I am enough, right now, for today. And from that place, I keep growing.",'Not enough' is the background hum of most teens' inner worlds — naming it directly often produces strong recognition. The shift is not to false positivity but to questioning whether the measure is real and whether it's theirs. This session pairs powerfully with Weeks 5 and 6 from Phase 1.,,,,
21,2,Unlearn,Unlearn,Teen,The Relationships That Shaped You,Auditing the Relationship Code,What you picked up from the people who raised you,What did you learn about love from the people who raised you?,Old hurt,2 of 3,"9, 23",Standard,,,There's an old observation: 'Show me who shaped you and I'll understand how you love.' Not as a verdict — but as a map. Understanding where your relational patterns came from is the beginning of choosing which ones to carry forward.,There's an old observation: 'Show me who shaped you and I'll understand how you love.' Not as a verdict — but as a map.,,,"You inherited relationship 'settings' the way a phone ships with defaults — some are great, some need updating. Today: spot one default about love you want to change.","You inherited relationship 'settings' the way a phone ships with defaults — some are great, some need updating. Today: spot one default about love you want to change.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

You didn't choose your family, your early friendships, or the first people who taught you what love and trust look like. But those relationships installed some pretty powerful programmes about how you connect with people. Today we look at those programmes — and decide which ones to keep.","Think of the relationship — family, friend, or other — that has most shaped how you trust and connect with people. What did it teach you about what relationships feel like?","You didn't choose your family, your early friendships, or the first people who taught you what love and trust look like. But those relationships installed some pretty powerful programmes about how you connect with people. Today we look at those programmes — and decide which ones to keep.",https://www.youtube.com/watch?v=WjOowWxOXCg,YouTube: Search 'attachment styles explained teen' or 'how childhood affects adult relationships' for accessible content. Alternatively: search 'anxious avoidant secure attachment animated' for visual explainers. Runtime ~10–15 min.,,,,What did you learn about love from the people who raised you?,"MY RELATIONSHIP BLUEPRINT: Think about one significant relationship from your past — a parent, a close friend, a first romantic interest. What did that relationship teach you about: trust (is it safe to rely on others?), closeness (is intimacy safe?), and conflict (what happens when things go wrong?). Now: where do those same patterns show up in your current relationships? Which patterns are helpful? Which ones create problems? Share: one pattern you've noticed repeating across different relationships.",Write about a relationship pattern you've noticed in yourself. Where do you think it came from? Does it help you or hurt you in current relationships?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Notice once today in a friendship or family interaction when an old pattern seems to be running. Just name it silently — 'there's the template.',Tell one trusted person about a relational pattern you've noticed in yourself. Ask them if they see it too — and be willing to hear the answer.,Bring back: what did you notice about relational patterns this week?,,,I understand how I was taught to connect. I choose which patterns I carry forward — and I can build new ones.,"Some teens may recognise painful or even traumatic relational patterns for the first time in this session. Have professional referral resources available. The tone should be empowering, not pathologising — these patterns were formed for good reasons and can be changed.",,,YES,
22,2,Unlearn,Unlearn,Teen,Setting Down the Armour,Firewall Settings,The walls that kept you safe and now keep people out,"What are you protecting, and who's stuck on the outside of it?",Masks and being seen,2 of 3,"10, 42",Standard,,,"There's an old paradox: the strongest walls also keep out the light. Protecting yourself from pain often protects you from joy in the same motion. The question is not whether to have walls — but knowing where the doors are, and trusting yourself to choose when to open them.",There's an old paradox: the strongest walls also keep out the light. Protecting yourself from pain often protects you from joy in the same motion.,,,"The armour that got you through school now sets off the metal detector at the hug. Today: lower one piece of armour — sarcasm, busyness, control — with one safe person.",The armour that got you through school now sets off the metal detector at the hug.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

We all develop ways of protecting ourselves when things feel unsafe — humour, sarcasm, not caring, never letting anyone get too close. Those strategies made sense once. But if the armour never comes down, you end up safe and alone. This week we look at what you're protected against — and what you're also blocking.",What's your most reliable emotional defence? Do you get funny when things are serious? Go quiet? Get sarcastic? Pretend not to care? Agree to avoid conflict? Most of us have a signature move — what's yours?,"We all develop ways of protecting ourselves when things feel unsafe — humour, sarcasm, not caring, never letting anyone get too close. Those strategies made sense once. But if the armour never comes down, you end up safe and alone. This week we look at what you're protected against — and what you're also blocking.",https://www.youtube.com/watch?v=iCvmsMzlF7o,"TED Talk: Brené Brown on vulnerability — directly addresses the armour that teens most relate to (cool detachment, irony, numbing). Runtime ~20 min. Can be shown in clips.",,,,"What are you protecting, and who's stuck on the outside of it?","FIREWALL AUDIT: Identify your top two or three emotional defences. For each: What situation most reliably triggers it? What was the original threat it was built against? What does it successfully protect you from? What does it also block that you actually want? What would it take — what conditions would need to be present — for you to safely lower it, even briefly? Share: one defence and what it costs you.",Write about the thing you most protect others from seeing in you. What would actually happen if they saw it?,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Choose one low-risk moment this week to lower a small piece of your defence — let something genuine show. Notice what happens.,Tell one trusted person about a defence strategy you use. See how they respond to the honesty itself.,Bring back: what happened when you lowered the defence a little? Fear vs. reality?,,,I am strong enough to be real. Connection is worth the risk of being seen.,"The armour session is particularly potent for teens who have experienced significant social pain or betrayal. Never pressure anyone to lower their defences in a group setting — the session is about building awareness, not demanding vulnerability. Model appropriate vulnerability as a facilitator.",,,,
23,2,Unlearn,Unlearn,Teen,Grief and Growth — What Endings Make Possible,What Deserved a Ceremony,"Endings, and what they make room for",What ended that you never really got over?,Old hurt,3 of 3,"9, 21",Standard,,,"There's an old understanding across cultures: endings deserve to be witnessed. That's why there are funerals, closing ceremonies, graduation rituals. The ritual isn't for the dead — it's for the living. It marks the ending so the living can begin. Today we think about the endings in your life that deserved a ceremony and didn't get one.","There's an old understanding across cultures: endings deserve to be witnessed. That's why there are funerals, closing ceremonies, graduation rituals.",,,"Winter looks like the tree died, but it's just clearing the branches for spring. Today: name what an ending has quietly made room for.","Winter looks like the tree died, but it's just clearing the branches for spring. Today: name what an ending has quietly made room for.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

Grief isn't only about death. It's also about things ending — friendships that changed, versions of yourself you had to leave behind, futures you imagined that didn't happen. Most people were never taught how to grieve properly. This week we learn what grief actually requires — and why moving through it (not around it) is where growth lives.","What's something that ended in your life — a friendship, a chapter, a version of yourself, something you hoped for — that you never fully got to grieve? That maybe you just... pushed through?","Grief isn't only about death. It's also about things ending — friendships that changed, versions of yourself you had to leave behind, futures you imagined that didn't happen. Most people were never taught how to grieve properly. This week we learn what grief actually requires — and why moving through it (not around it) is where growth lives.",https://www.youtube.com/watch?v=khkJkR-ipfw,YouTube: Search 'David Kessler grief teenager' or 'processing loss teen psychology' for accessible content. Also: search 'post-traumatic growth explained' for the growth-through-loss research. Runtime ~10–15 min.,,,,What ended that you never really got over?,"ENDINGS THAT DESERVE ACKNOWLEDGMENT: In your journal, write about one ending in your life that you never properly processed. What was lost — specifically? What did it mean to you? What did you do instead of grieving it? What would properly acknowledging it look and feel like? And: is there anything this loss has given you or made possible, even in a painful way? Share: one ending you're beginning to honour — without necessarily sharing the full detail.","Write a short goodbye to something that ended — a friendship, a chapter, a dream. Say what it meant. Thank it. Let it go.","Given what you noticed today, what is one thing you will do differently before next Sunday?","Allow yourself one quiet moment this week to acknowledge an ending you've been avoiding. Write it down, or just sit with it for five minutes.",Tell one trusted person about something you've lost that you haven't talked about. Let them simply hear it.,Bring back: what was it like to write the goodbye? What shifted — even a little?,,,I honour my losses. Moving through them is how I make space for what's next.,"Adolescent grief is often unacknowledged in adult frameworks. Make explicit that loss here includes friendship endings, relationship breakdowns, family changes, identity losses — not only death. Follow CRITICAL guidelines: have wellbeing resources available, do not push anyone to share more than they are comfortable with.",,,YES,
24,2,Unlearn,Unlearn,Teen,Rewiring Fear — From Threat to Signal,Updating the Alarm System,"Fear as information, not an instruction",What are you scared of that has never actually happened?,The body,2 of 3,"4, 30",Standard,,,"There's an old practice: the samurai meditated on death daily — not to become morbid, but to distinguish clearly between what was actually dangerous and what merely felt uncomfortable. The distinction gave them freedom. Most of our fears, when examined clearly, turn out to be discomfort wearing a danger costume.","There's an old practice: the samurai meditated on death daily — not to become morbid, but to distinguish clearly between what was actually dangerous and what merely felt…",,,"Most alarms in your head are burnt toast, not a house fire — the smoke detector just can't tell the difference. Today: label one fear 'burnt toast' and open a window instead of running.","Most alarms in your head are burnt toast, not a house fire — the smoke detector just can't tell the difference.",,,"DRAFT — rewrite from the video transcript once the video is chosen.

Fear is useful — when it's pointing at real danger. But most of the fear that shapes our decisions isn't about real danger. It's about embarrassment, failure, judgment, and uncertainty. This week we learn to tell the difference — and to stop letting discomfort run disguised as danger.",What's one fear that regularly shapes your choices? Not a scary movie fear — a real one that stops you doing things you actually want to do.,"Fear is useful — when it's pointing at real danger. But most of the fear that shapes our decisions isn't about real danger. It's about embarrassment, failure, judgment, and uncertainty. This week we learn to tell the difference — and to stop letting discomfort run disguised as danger.",https://www.youtube.com/watch?v=ZizdB0TgAVM,YouTube: Search 'how to overcome fear psychology teen' or 'exposure therapy explained animated' for accessible content on the neuroscience of rewiring fear. Runtime ~10–15 min.,,,,What are you scared of that has never actually happened?,"DANGER vs. DISCOMFORT: List 5 fears that shape your choices. For each, honestly classify: genuine danger, or discomfort disguised as danger? For your 'discomfort' fears: what specifically are you afraid will happen? How realistic is it? What have you missed by avoiding this? What's the smallest step toward it? Share: one discomfort fear — and what avoiding it has cost you.",Write about the gap between what your fear predicts will happen — and what has actually happened the times you've pushed through it anyway.,"Given what you noticed today, what is one thing you will do differently before next Sunday?",Walk toward one small discomfort fear today. Notice: prediction vs. reality.,Tell someone about a fear you're rewiring. Ask them to call it out gently when they see you avoiding it.,Bring back: what was the fear's prediction? What actually happened?,,,I feel the fear. I name what it actually is. And I move toward what matters.,The fear prediction vs. reality exercise is one of the most practically powerful of the year. Teens often discover their fear's predictions are dramatically worse than reality. Build in time for genuine reflection on past experiences of walking through fear.,,,YES,
25,2,Unlearn,Unlearn,Teen,The Stories That No Longer Serve,Writing the Update,An old story that protected you and now holds you back,What story about yourself is out of date?,Stories and identity,3 of 5,"2, 5, 27, 49",Standard,,,There's a real difference between the events of your life and the story you tell about those events. The events are fixed. The story is not. You are always the author of the meaning. Today we practise using that authorship.,There's a real difference between the events of your life and the story you tell about those events. The events are fixed. The story is not.,,,An old story is a saved route on your maps app that no longer goes where you live. Today: delete one outdated 'I always…' and set a new destination.,An old story is a saved route on your maps app that no longer goes where you live.,,,"DRAFT — rewrite from the video transcript once the video is chosen.

In Phase 1 we found the stories running in the background. Now we do something about them. Not all stories are ready to go — but some of them are. This week we write the upgrade: the same events, a more complete interpretation, a new author in charge.","Think of a story you've been carrying about yourself since Phase 1 — one that has shaped choices you've made, things you've avoided, how you see yourself. Has anything shifted in how you hold it over the past 12 weeks?","In Phase 1 we found the stories running in the background. Now we do something about them. Not all stories are ready to go — but some of them are. This week we write the upgrade: the same events, a more complete interpretation, a new author in charge.",https://www.youtube.com/watch?v=D9Ihs241zeg,YouTube: Brené Brown on stories and meaning — or search 'narrative identity teen psychology' for accessible research-based content. Runtime ~15 min.,,,,What story about yourself is out of date?,"STORY UPDATE: Choose one significant story about yourself you're carrying. Write the current version — exactly as you've been telling it. Then write the expanded version: What have you left out? What strengths emerged from the hard parts? What did you survive or learn that the current story doesn't credit you for? What would the full, honest, complete story enable that the edited version prevents? Share: the opening line of the new story.","Write the first line of a new chapter in your story — the one that starts now, from here, having come through what you've come through.","Given what you noticed today, what is one thing you will do differently before next Sunday?",Live from the new story for one day this week. Make one choice that the new story enables but the old one would have prevented.,Tell one person the new story — or just the direction of it. Notice what it feels like to own it.,Bring back: what was it like to write the new story? Did anything change?,,,I am the author of what my story means. I write from here — forward.,This is one of the most empowering sessions of the year — handle the writing exercise with care and adequate time. The shift from 'things happened to me' to 'here is what I made from what happened' is paradigm-shifting for many teens. Celebrate the new story openings that are shared.,,,,
